Day fraction since midnight on 11/27/2018			balance2 ()
Day fraction since midnight on 11/27/2018			balance2 ()
7:43:53 PM			0
7:43:54 PM			0
7:43:55 PM			0.1
7:43:56 PM			0
7:43:57 PM			0
7:43:58 PM			498.8
7:43:59 PM			941.6
7:44:00 PM			962.8
7:44:01 PM			928.8
7:44:02 PM			944.4
7:44:03 PM			965.4
7:44:04 PM			965.5
7:44:05 PM			965.5
7:44:06 PM			965.5
7:44:07 PM			965.5
7:44:08 PM			965.5
7:44:09 PM			965.5
7:44:10 PM			965.5
7:44:11 PM			982.6
7:44:12 PM			1003.7
7:44:13 PM			898.2
7:44:14 PM			950.7
7:44:15 PM			965.4
7:44:16 PM			965.4
7:44:17 PM			965.4
7:44:18 PM			965.4
7:44:19 PM			965.4
7:44:20 PM			965.4
7:44:21 PM			965.4
7:44:22 PM			972.6
7:44:23 PM			956.7
7:44:24 PM			953.7
7:44:25 PM			964.5
7:44:26 PM			971.2
7:44:27 PM			952.1
7:44:28 PM			941
7:44:29 PM			953.9
7:44:30 PM			945.4
7:44:31 PM			945.2
7:44:32 PM			948.8
7:44:33 PM			964.8
7:44:34 PM			965
7:44:35 PM			965.1
7:44:36 PM			965.1
7:44:37 PM			965.1
7:44:38 PM			965.1
7:44:39 PM			965.1
7:44:40 PM			965.1
7:44:41 PM			965
7:44:42 PM			965
7:44:43 PM			965
7:44:44 PM			965
7:44:45 PM			964.9
7:44:46 PM			964.9
7:44:47 PM			964.9
7:44:48 PM			964.9
7:44:49 PM			964.9
7:44:50 PM			964.8
7:44:51 PM			964.8
7:44:52 PM			964.8
7:44:53 PM			964.8
7:44:54 PM			964.8
7:44:55 PM			964.8
7:44:56 PM			964.8
7:44:57 PM			964.7
7:44:58 PM			964.7
7:44:59 PM			964.7
7:45:00 PM			964.7
7:45:01 PM			964.7
7:45:02 PM			964.6
7:45:03 PM			964.6
25 cm			
7:45:04 PM			964.6
7:45:05 PM			964.6
7:45:06 PM			964.6
7:45:07 PM			964.6
7:45:08 PM			964.5
7:45:09 PM			964.5
7:45:10 PM			964.5
7:45:11 PM			964.5
7:45:12 PM			964.5
12:00:00 AM			
7:45:13 PM			964.4
7:45:14 PM			964.4
7:45:15 PM			964.4
7:45:16 PM			964.4
7:45:17 PM			964.4
7:45:18 PM			964.3
7:45:19 PM			964.3
7:45:20 PM			964.3
7:45:21 PM			964.3
7:45:22 PM			964.3
7:45:23 PM			964.3
7:45:24 PM			964.3
7:45:25 PM			964.2
7:45:26 PM			964.2
7:45:27 PM			964.2
7:45:28 PM			964.2
7:45:29 PM			964.2
7:45:30 PM			964.2
7:45:31 PM			964.1
7:45:32 PM			964.1
7:45:33 PM			964.1
7:45:34 PM			964.1
7:45:35 PM			964.1
7:45:36 PM			964.1
7:45:37 PM			964.1
7:45:38 PM			964
7:45:39 PM			964
7:45:40 PM			964
