Day fraction since midnight on 11/17/2018	Fluoride Probe (volts)	balance ()	balance2 ()
2:22:33 PM	0.61514032	-999999	-999999
2:22:34 PM	0.61511916	-999999	-999999
2:22:35 PM	0.61514074	-999999	-999999
2:22:36 PM	0.61513108	-999999	-999999
2:22:37 PM	0.61513066	-999999	-999999
2:22:38 PM	0.61513913	-999999	-999999
2:22:39 PM	0.61513466	-999999	-999999
2:22:40 PM	0.61512321	-999999	-999999
2:22:41 PM	0.61512953	-999999	-999999
2:22:42 PM	0.61511558	-999999	-999999
2:22:43 PM	0.6151287	-999999	-999999
2:22:44 PM	0.61511326	-999999	-999999
2:22:45 PM	0.61512691	-999999	-999999
2:22:46 PM	0.61511803	-999999	-999999
2:22:47 PM	0.61512041	-999999	-999999
2:22:48 PM	0.61512065	-999999	-999999
2:22:49 PM	0.6151073	-999999	-999999
2:22:50 PM	0.61511892	-999999	-999999
2:22:51 PM	0.61512661	-999999	-999999
2:22:52 PM	0.61512357	-999999	-999999
2:22:53 PM	0.61511838	-999999	-999999
2:22:54 PM	0.61514205	-999999	-999999
2:22:55 PM	0.61512303	-999999	-999999
2:22:56 PM	0.61512619	-999999	-999999
2:22:57 PM	0.61511689	-999999	-999999
2:22:58 PM	0.61513638	-999999	-999999
2:22:59 PM	0.61513042	-999999	-999999
2:23:00 PM	0.61512399	-999999	-999999
2:23:01 PM	0.61512351	-999999	-999999
2:23:02 PM	0.61513281	-999999	-999999
2:23:03 PM	0.6151244	-999999	-999999
2:23:04 PM	0.61512637	-999999	-999999
2:23:05 PM	0.61511022	-999999	-999999
2:23:06 PM	0.61512578	-999999	-999999
2:23:07 PM	0.6151371	-999999	-999999
2:23:08 PM	0.61513233	-999999	-999999
2:23:09 PM	0.61512405	-999999	-999999
2:23:10 PM	0.61512911	-999999	-999999
2:23:11 PM	0.61513722	-999999	-999999
2:23:12 PM	0.6151244	-999999	-999999
2:23:13 PM	0.61512631	-999999	-999999
