Lx,Ly
0,0
0.05,0.618767168
0.1,1.202007241
0.15,1.752694566
0.2,2.273480481
0.25,2.766736011
0.3,3.234587956
0.35,3.678949547
0.4,4.101546597
0.45,4.503939903
0.5,4.887544505
0.55,5.253646317
0.6,5.603416523
0.65,5.937924098
0.7,6.258146713
0.75,6.564980287
0.8,6.85924735
0.85,7.141704412
0.9,7.413048454
0.95,7.67392267
1,7.92492156
1.05,8.166595449
1.1,8.399454517
1.15,8.623972396
1.2,8.84058938
1.25,9.049715314
1.3,9.251732175
1.35,9.446996406
1.4,9.635841013
1.45,9.818577459
1.5,9.995497379
1.55,10.16687413
1.6,10.33296422
1.65,10.49400854
1.7,10.6502336
1.75,10.80185253
1.8,10.94906608
1.85,11.0920635
1.9,11.23102336
1.95,11.36611428
2,11.49749561
2.05,11.6253181
2.1,11.7497244
2.15,11.87084967
2.2,11.98882201
2.25,12.10376295
2.3,12.21578784
2.35,12.32500628
2.4,12.43152241
2.45,12.5354353
2.5,12.63683923
2.55,12.73582399
2.6,12.83247513
2.65,12.9268742
2.7,13.01909903
2.75,13.10922386
2.8,13.19731962
2.85,13.28345407
2.9,13.36769198
2.95,13.45009532
3,13.53072336
3.05,13.60963287
3.1,13.68687821
3.15,13.76251148
3.2,13.83658262
3.25,13.90913953
3.3,13.98022817
3.35,14.04989267
3.4,14.1181754
3.45,14.18511707
3.5,14.25075679
3.55,14.31513218
3.6,14.37827943
3.65,14.44023335
3.7,14.50102745
3.75,14.56069399
3.8,14.61926406
3.85,14.6767676
3.9,14.73323349
3.95,14.78868956
4,14.84316266
4.05,14.89667869
4.1,14.94926266
4.15,15.0009387
4.2,15.05173014
4.25,15.10165949
4.3,15.15074851
4.35,15.19901825
4.4,15.24648904
4.45,15.29318055
4.5,15.33911183
4.55,15.38430129
4.6,15.42876674
4.65,15.47252547
4.7,15.51559417
4.75,15.55798906
4.8,15.5997258
4.85,15.64081962
4.9,15.68128526
4.95,15.721137
5,15.76038872
5.05,15.79905387
5.1,15.83714549
5.15,15.87467625
5.2,15.91165845
5.25,15.94810403
5.3,15.98402459
5.35,16.01943138
5.4,16.05433536
5.45,16.08874715
5.5,16.1226771
5.55,16.15613525
5.6,16.18913139
5.65,16.221675
5.7,16.25377534
5.75,16.28544141
5.8,16.31668195
5.85,16.34750549
5.9,16.37792032
5.95,16.40793451
6,16.43755594
6.05,16.46679225
6.1,16.49565092
6.15,16.52413921
6.2,16.55226421
6.25,16.58003281
6.3,16.60745176
6.35,16.63452762
6.4,16.66126678
6.45,16.68767549
6.5,16.71375984
6.55,16.73952576
6.6,16.76497905
6.65,16.79012537
6.7,16.81497023
6.75,16.83951903
6.8,16.86377702
6.85,16.88774935
6.9,16.91144102
6.95,16.93485694
7,16.9580019
7.05,16.98088057
7.1,17.00349752
7.15,17.02585721
7.2,17.04796402
7.25,17.0698222
7.3,17.09143593
7.35,17.11280928
7.4,17.13394625
7.45,17.15485073
7.5,17.17552654
7.55,17.1959774
7.6,17.21620698
7.65,17.23621884
7.7,17.25601648
7.75,17.27560332
7.8,17.29498271
7.85,17.31415792
7.9,17.33313218
7.95,17.35190861
8,17.3704903
8.05,17.38888026
8.1,17.40708145
8.15,17.42509675
8.2,17.442929
8.25,17.46058098
8.3,17.4780554
8.35,17.49535493
8.4,17.51248218
8.45,17.52943972
8.5,17.54623005
8.55,17.56285563
8.6,17.57931888
8.65,17.59562217
8.7,17.61176781
8.75,17.62775808
8.8,17.64359521
8.85,17.65928139
8.9,17.67481876
8.95,17.69020945
9,17.7054555
9.05,17.72055896
9.1,17.73552182
9.15,17.75034602
9.2,17.76503349
9.25,17.77958611
9.3,17.79400572
9.35,17.80829415
9.4,17.82245318
9.45,17.83648455
9.5,17.85038998
9.55,17.86417117
9.6,17.87782977
9.65,17.8913674
9.7,17.90478568
9.75,17.91808616
9.8,17.9312704
9.85,17.9443399
9.9,17.95729617
9.95,17.97014067
10,17.98287484
10.05,17.99550009
10.1,18.00801782
10.15,18.02042938
10.2,18.03273614
10.25,18.0449394
10.3,18.05704048
10.35,18.06904064
10.4,18.08094115
10.45,18.09274323
10.5,18.10444812
10.55,18.116057
10.6,18.12757104
10.65,18.13899142
10.7,18.15031925
10.75,18.16155568
10.8,18.17270179
10.85,18.18375867
10.9,18.19472739
10.95,18.205609
11,18.21640453
11.05,18.22711501
11.1,18.23774142
11.15,18.24828476
11.2,18.258746
11.25,18.26912609
11.3,18.27942598
