Effluent Concentration (mmol/g),Uptake (mmol/g)
0.54323,3.06849921
0.453680894,3.734933235
0.56565,5.12764613
0.6,5.897840969
0.741139607,4.485371662
0.785,6.771985255
0.9,8.846761453
1.05,8.32016851
1.117600196,12.14281118
1.573455348,14.43515388
3.61,11.69036335
6.208,15.93470247
12.88,25.32912059
9.6,17.87783044
6.063,27.48288573
4.54,13.97577672
1.6,5.581885203
1.117,6.201509566
0.741,3.921800948
1.326,9.681411269
9.61,17.85150079
3.37,10.42654028
6.39,15.16587678
1.598,5.587151132
1.1176,6.200456381
0.741,3.921800948
